override,businessName,taxCountry,legalName,nativeBusinessName,nativeLegalName,taxRegistrationNumbers,street1,street2,street3,city,state,postalCode,poBox,poBoxPostalCode,BVD,dunsNumber,LEI,unspsc,naics,website,isDiversitySupplier,stockExchange,stockSymbol,buyerSystemDetails
,VAN RHEINBERG GMBH,Germany,,,,HRB 10572 |DE165432819 ,Ullrichstraße 1,,,Wesel,,46485,,,DE5390012875,325344786,,,,www.vanrheinberg.de,,,,
,KLAUS ANGERMAIER SPRITZGIESSTECHNIK GMBH,Germany,,,,HRB 4887 |DE131167386 ,Altwasserstraße 8,,,Bad Aibling,,83043,,,DE8250060342,319856316,,,,www.angermaier-gmbh.de,,,,
,MENTOR GMBH & CO.,Germany,,,,HRB 12940 ,Otto-Hahn-Straße 1,,,Erkrath,,40699,,,DE5050134333,325507515,,,,www.mentor.de.com,,,,
,PLEXI.POINT,Germany,,,,HRA 19809 |DE309291695 |204/5367/2505,Otto-Brenner-Straße 8,,,Rösrath,,51503,,,DE5190521331,329102292,,,,www.plexi-point.de,,,,
,TAXI RUF BREMEN,Germany,,,,VR 12734 HB |DE114437833 |60/143/00366,Jakobistraße 20,,,Bremen,,28195,,,DE2050103793,319139986,,,,www.taxi-ruf-bremen.de,,,,
, ,Germany,,,,HRB 1141 ,Daimlerstraße 26,,,Mönchengladbach,,41189,,,DE5230000330,327916271,,,,www.b-plastic.com,,,,
,MU:V GMBH,Germany,,,,HRB 186061 |DE220122946|143/165/50976,Domagkstraße 7,,,Kirchheim bei München,,85551,,,DE8170877685,344800896,,,,www.mu-v.de,,,,
,1A CAL GMBH,Germany,,,,HRB 15241 |DE272966461,Falderbaumstraße 23,,,Kassel,,34123,,,DE6150428044,341817846,,,,www.1acal.de,,,,
,KRINGS & SIEGER GMBH & CO. KG,Germany,,,,HRB 1148 ,Willi-Bleicher-Straße 20,,,Düren,,52353,,,DE5010029140,328321687,,,,www.krings-sieger.de,,,,
,2BIND GMBH,Germany,,,,HRB 12909 |DE281016123,Am Biopark 11,,,Regensburg,,93053,,,DE8230549764,342526851,,,,www.2bind.de,,,,
,2MAG AG,Germany,,,,HRB 174171 |DE260422483,Schragenhofstraße 35,,,München,,80992,,,DE8170809238,340880085,,,,www.2mag.de,,,,
,SECOVA GMBH & CO.KG,Germany,,,,HRA 5569 |DE259178137|311/5961/3293,Max-Born-Straße 4,,,Rheine,,48431,,,DE4250432818,312784090,,,,www.secova.de,,,,
,3D ACTIVATION GMBH,Germany,,,,HRB 28001 |DE297402755|040 231 72763,Hagenauer Str. 42,,,Wiesbaden,,65203,,,DE6250294930,313267147,,,,www.3d-activation.de,,,,
,3P INSTRUMENTS GMBH & CO KG,Germany,,,,HRA 89095 |DE251465861|107/172/63702,Rudolf-Diesel-Straße 12,,,Odelzhausen,,85235,,,DE8330202052,329336838,,,,www.quantachrome.de,,,,
,A&O PHARMA GMBH-EUR,Germany,,,,HRB 723619 |DE296678169,Am Sattel 17,,,Efringen-Kirchen,,79588,,,DE7010479023,343562585,,,,www.aopharma.de,,,,
,AERO VERPACKUNGSGESELLSCHAFT MBH,Germany,,,,HRB 3680 |DE119930396|113/5701/0023,Zeppelinstraße 16,,,Geldern,,47608,,,DE5130000945,318056777,,,,www.aeropack.de,,,,
,AET LEZAUD GMBH,Germany,,,,HRB 100678 |DE815401299|040/105/59451,Am Hottenwald 8,,,Sankt Wendel,,66606,,,DE7290523795,342761169,,,,www.lezaud.com,,,,
,A & O MEDIENDESIGN GMBH,Germany,,,,HRB 25463 HB |DE815068148|71/552/10537,Am Deich 86,,,Bremen,,28199,,,DE2050617203,341281054,,,,www.aundo.de,,,,
,SILIKON-TECHNIK SILTEC GMBH&CO.KG,Germany,,,,HRA 8531 |DE814667299,Jakob-Lang-Straße 12,,,Weiler-Simmerberg,,88171,,,DE8150185395,551056562,,,,www.siltec.de,,,,
,FÜTTERER,Germany,,,,HRA 100499 ,Gerwigstraße 7,,,Karlsruhe,,76131,,,DE7110040544,319800355,,,,info@fuetterer-elektro.de,,,,
,A.KRÜSS OPTRONIC GMBH,Germany,,,,HRB 29887 |DE118633391,Alsterdorfer Str. 276-278,,,Hamburg,,22297,,,DE2150186301,317714665,,,,www.kruess.com,,,,
,A.U.K. MÜLLER GMBH & CO. KG,Germany,,,,HRA 3019 |DE119422425,Dresdener Str. 162,,,Düsseldorf,,40595,,,DE5050052090,320763352,,,,www.akmueller.de,,,,
,A.R.T. ELEKTROMECHANIK-VERTRIEBS-GMBH,Germany,,,,HRB 103714 |DE158914619|143/115/20556,Kistlerhofstraße 70/Geb. 75,,,München,,81379,,,DE8170539590,343841029,,,,www.artgmbh.com,,,,
,A3 GMBH,Germany,,,,HRB 152093 |DE813902553|143/111/20248,Memlingstraße 14,,,München,,81479,,,DE8170671779,333247323,,,,www.a3gmbh.com,,,,
,AACHENER QUARZGLAS TECHNOLOGIE,Germany,,,,HRA 9026 |DE815714004|225/5090/0415,Im Süsterfeld 4,,,Aachen,,52072,,,DE5010051694,314387961,,,,www.quarzglas-heinrich.de,,,,
,AARON CHEMISTRY,Germany,,,,HRB 145996 |DE813637224|119/121/00326,Am Fischweiher 41,,,Mittenwald,,82481,,,DE8290226368,331806542,,,,www.aaron-chemistry.de,,,,
,AB DR A BERG GMBH,Germany,,,,HRB 85962 |DE224178801|41/700/02348,Ruhrstraße 49,,,Hamburg,,22761,,,DE2151114210,331631619,,,,www.buero-drberg.de,,,,
,CLINIC & JOB DRESS GMBH,Germany,,,,HRB 200058 |DE814531770|66/200/56257,Leyer Str. 26,,,Osnabrück,,49076,,,DE2310083748,317121531,,,,www.cjd-deutschland.de,,,,
,ABB STOTZ KONTAKT GMBH,Germany,,,,HRB 336474 |DE811176562,Eppelheimer Str. 82,,,Heidelberg,,69123,,,DE7050138299,319280020,,,,www.abb.de,,,,
,ABS SAFETY GMBH,Germany,,,,HRB 4875 |DE233002380|113/5720/1132,Gewerbering 3,,,Kevelaer,,47623,,,DE5130081910,312548052,,,,www.absturzsicherung.de,,,,
,ABS TEAM GMBH,Germany,,,,HRB 1535 |DE115305229|20/200/28322,Mühlenweg 65,,,Bovenden,,37120,,,DE2110023706,341559839,,,,www.abs-team.de,,,,
,ABV VERPACKUNG GMBH,Germany,,,,HRB 200443 |DE191490367,Am Bollmann 20,,,Stuhr,,28816,,,DE2050422626,315148366,,,,www.abv-verpackung.de,,,,
,I & L BIOSYSTEMS GMBH,Germany,,,,HRB 10580 |DE266551441|222/5712/4070,Königswinterer Str. 409,,,Königswinter,,53639,,,DE5030574993,341364226,,,,www.il-biosystems.de,,,,
